android_package_name,app,app_category
com.pinterest,pinterest,social
com.facebook.katana,facebook,social
com.spotify.music,spotify,music and Audio
com.contextlogic.wish,wish,shopping
com.groupon,groupon,shopping
com.tripadvisor.tripadvisor,tripadvisor,travel and local
com.dropbox.android,dropbox,productivity
com.trello,trello,productivity
com.viber.voip,viber,communication
com.facebook.orca,messenger,communication
com.twitter.android,twitter,news and magazines
com.google.android.youtube,youtube,video players
de.motain.iliga,onefootball,sports
com.accuweather.android,accuweather,weather
com.iconology.comics,comics,comics
com.joelapenna.foursquared,foursquare,travel and Local
it.subito,subito,lifestyle
com.duolingo,duolingo,education
com.waze,waze,maps & navigation
air.com.hypah.io.slither,slither,games
